City,NO2,O3,PM25,latitude,longitude
Mysuru,18.3993023255814,45.4195348837209,13.5811627906977,12.21041,76.37376
Nagpur,20.8169387755102,49.7747448979592,21.5140816326531,21.152875,79.0517531
Nandesari,34.4285714285714,,29,22.410802,73.097923
Narnaul,27.1369230769231,25.61,23.5461538461538,28.060249,76.113115
Nashik,11.6139285714286,45.6189595375723,17.0875144508671,20.0073285,73.7762427
Navi Mumbai,11.4661538461538,25.4989473684211,4.66166666666667,19.1135051,73.008978
Noida,18.9418996960486,43.0620454545454,46.798904109589,28.56923,77.3231257
Pali,9.01470297029703,32.2273762376237,48.1676732673267,25.771061,73.340227
Palwal ,17.3483333333333,19.0991666666667,13.5641666666667,28.1485564,77.3320667
Panchkula,26.1855502392345,51.7331100478469,29.8764903846154,30.7057778,76.8531805555555
Panipat,45.0409090909091,53.9727272727273,44.2681818181818,29.497973,76.993331
Patiala,12.7095890410959,30.4165753424658,41.9219178082192,30.349388,76.366642
Patna,7.20030303030303,36.8257912457913,30.5067003367003,25.596727,85.113666
Pithampur,8.19239130434782,11.2524861878453,22.8142076502732,22.624758,75.675238
Pune,12.9388118811881,31.3255445544554,34.049504950495,18.5011743,73.8165527
Rajamahendravaram,7.37014925373134,51.5247474747475,17.9507389162562,16.9872867,81.7363176
Ramanagara,22.3269230769231,48.5098,11.0943396226415,12.733409,77.298051
Ratlam,19.17,,46.5230769230769,23.331731,75.045981
Rohtak,0,36.9968817204301,41.6735483870968,28.52123,76.37138
Rupnagar,1.23833333333333,,167.908703703704,30.0325454,76.5623046
Sagar,12.7326229508197,,32.0295081967213,23.8640158,78.80289321
Satna,,,22.2620512820513,24.58434363,80.8549414
Shillong,2.77326086956522,4.60304347826087,10.8434782608696,25.5586,91.8985
Siliguri,22.4731958762887,18.069587628866,17.4494845360825,26.6883049,88.412668
Singrauli,42.3161764705882,40.3551020408163,82.2718446601942,24.10897,82.64558
Sirsa ,7.53,16,52.0972727272727,29.5364,75.0158
Sonipat,40.4514285714286,22.7028571428571,37.4164285714286,29.0272,77.0621
Talcher,17.1151396648045,0,16.5006145251397,20.9360711,85.1707021
Thane,3.95797202797203,16.9645454545455,,19.192056,72.9585188
Thiruvananthapuram,8.80463126843658,27.448407079646,9.41786144578313,8.5149093,76.9435879
Tirupati,9.28204081632654,67.2302040816326,29.2820512820513,13.67,79.35
Udaipur,10.1673869346734,44.859,36.1335,24.5886166,73.6321397
Ujjain,5.92193877551021,56.59375,19.989898989899,23.182719,75.768218
Vapi,0.994444444444444,8.48888888888889,13.3222222222222,20.362421,72.918013
Varanasi,25.8785024154589,78.5084263959391,46.4419889502762,25.3505986,82.9083074
Vatva,6.014,26.6345,45.734,22.969611,72.6435
Vijayapura,8.48,62.41,16.68,16.802639,75.722694
Visakhapatnam,20.0923423423423,27.4481981981982,16.9128440366972,17.72,83.3
Yadgir,8.6952380952381,19.0061904761905,22.1904761904762,16.7602,77.1428
Yamunanagar,23.1235714285714,31.0121428571429,51.8,30.1480566,77.2893471
