City,NO2,O3,PM25,latitude,longitude
 Alwar,19.9375392670157,41.0929842931937,36.3926178010471,27.554793,76.611536
Agra,28.0165,55.554,65.795,27.19865833,78.00598056
Ahmedabad,18.3099,48.4459798994975,27.54295,23.002657,72.591912
Aizawl,0.188,0.049666666666667,13.3643333333333,23.7176342,92.7192841
Ajmer,8.3319,56.9031188118811,53.8124378109453,26.470859,74.646594
Amaravati,4.2363184079602,37.410447761194,19.93,16.5150833,80.5181667
Ambala ,27.6371428571429,30.55,21.7857142857143,30.379589,76.778328
Amritsar,11.0441393442623,17,34.2806967213115,31.62,74.876512
Ankleshwar,3.628,32.6513333333333,19.0153333333333,21.613267,73.010555
Asansol,13.4728828828829,23.361981981982,29.0756756756757,23.685297,86.945968
Aurangabad,20.822962962963,48.9608955223881,13.9648698884758,19.8389439,75.244448
Bagalkot,27.3446296296296,45.8925925925926,15.0983333333333,16.172806,75.659694
Bahadurgarh ,12.98125,60.7411111111111,37.5875,28.6701,76.9254
Ballabgarh,4.36714285714286,14.9192857142857,45.5921428571429,28.3419248,77.319699
Bathinda ,18.1716393442623,,22.0436065573771,30.233011,74.907758
Bengaluru,15.1880069025022,23.7485160202361,27.0651177730193,12.9352049,77.5950804
Bhiwadi,55.3179894179894,40.4567195767196,87.1396842105264,28.194909,76.862296
Bhiwani,15.2828571428571,65.5971428571429,22.5642857142857,28.806223,76.141105
Bhopal,5.40769230769231,62.1317073170732,19.1162790697674,23.233584,77.400574
Brajrajnagar,26.21,4.18,105.47,21.8004996,83.8396977
Bulandshahr,32.4686274509804,82.5808510638298,85.8148148148148,28.406963,77.849831
Chandigarh,4.84666666666667,51.2692857142857,20.3707142857143,30.751462,76.762879
Chandrapur,14.793793911007,37.3763443396227,40.8785308056872,19.645324,77.6345232
Charkhi Dadri,1.73514285714286,78.98,94.1071428571429,28.593883,76.270653
Chennai,8.90922118380061,24.0530248306998,25.2797901234568,13.0052189,80.2398125
Chikkaballapur,14.7184210526316,51.692380952381,12.5853658536585,13.428828,77.731418
Chikkamagaluru,21.5771929824561,19.8329824561403,17.5978571428571,13.328028,75.797056
Coimbatore,46.3331818181818,18.4131818181818,24.485,10.942451,76.978996
Damoh,15.0228571428571,,13.9285714285714,23.81748678,79.446246
Delhi,26.3302845771144,45.4420601949979,51.6577628140705,28.628624,77.186937
Dewas,8.9605,67.7055,25.96875,22.9682591,76.064118
Dharuhera,18.4125,59.76375,25.96375,28.2068,76.7997
Eloor,11.3826923076923,16.745,6.55230769230769,10.073232,76.302765
Ernakulam,0,,14.94734375,9.985653,76.281342
Faridabad,10.9163855421687,37.4939759036145,97.698313253012,28.4417,77.3217
Fatehabad ,9.30833333333333,68.0408333333333,50.225,29.503664,75.467934
Gandhinagar,2.75421052631579,31.0873684210526,19.2789473684211,23.221714,72.654328
