country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,,,2020-02-15,6,2,15,3,2,
US,United States,,,2020-02-16,7,1,16,2,0,
US,United States,,,2020-02-17,6,0,28,-9,-24,
US,United States,,,2020-02-18,0,-1,6,1,0,
US,United States,,,2020-02-19,2,0,8,1,1,
US,United States,,,2020-02-20,1,0,4,0,0,
US,United States,,,2020-02-21,2,-2,4,1,0,
US,United States,,,2020-02-22,7,3,23,5,4,
US,United States,,,2020-02-23,7,3,23,5,2,
US,United States,,,2020-02-24,2,1,9,1,3,
US,United States,,,2020-02-25,4,1,9,2,2,
US,United States,,,2020-02-26,7,2,5,3,2,
US,United States,,,2020-02-27,8,3,12,4,2,
US,United States,,,2020-02-28,8,3,10,5,2,
US,United States,,,2020-02-29,12,7,21,7,4,
US,United States,,,2020-03-01,13,9,18,7,3,
US,United States,,,2020-03-02,7,6,10,2,3,
US,United States,,,2020-03-03,11,10,20,3,2,
US,United States,,,2020-03-04,8,6,17,2,3,
US,United States,,,2020-03-05,8,7,21,2,3,
US,United States,,,2020-03-06,5,3,12,2,2,
US,United States,,,2020-03-07,10,8,29,7,5,
US,United States,,,2020-03-08,10,7,40,5,2,
US,United States,,,2020-03-09,6,6,31,-1,0,
US,United States,,,2020-03-10,6,7,18,-3,-2,
US,United States,,,2020-03-11,8,10,26,-2,-1,
US,United States,,,2020-03-12,6,23,19,-6,-3,
US,United States,,,2020-03-13,2,26,4,-10,-7,
US,United States,,,2020-03-14,-6,18,3,-10,-1,
US,United States,,,2020-03-15,-9,12,5,-13,-7,
US,United States,,,2020-03-16,-8,21,-1,-22,-20,
US,United States,,,2020-03-17,-18,14,8,-26,-27,
US,United States,,,2020-03-18,-24,8,6,-30,-31,
US,United States,,,2020-03-19,-28,7,2,-36,-33,
US,United States,,,2020-03-20,-32,5,-2,-37,-36,
US,United States,,,2020-03-21,-40,-2,-3,-36,-24,
US,United States,,,2020-03-22,-44,-13,-12,-44,-31,
US,United States,,,2020-03-23,-38,-10,-23,-47,-41,
US,United States,,,2020-03-24,-39,-12,-10,-46,-45,
US,United States,,,2020-03-25,-40,-15,-7,-47,-46,
US,United States,,,2020-03-26,-40,-14,3,-48,-47,
